Species,X,Y
Bison,-378715.0794,352236.681
Bison,-983298.8527,846159.4501
Bison,-1088957.165,-26361.4187
Bison,85549.0851,-194058.3792
Bison,-930284.1902,-141586.4818
Bison,-466029.9554,787567.7855
Bison,-506813.8052,325282.9498
Bison,-1026073.242,-19718.601
Bison,-102363.8395,687270.4434
Bison,-389098.9409,355561.6547
Bison,-1133842.636,-247469.9873
Bison,-695908.3322,1352564.019
Bison,-490271.7034,661611.3289
Bison,-998723.1805,48913.373
Bison,-917126.3558,-108845.5252
Bison,-457753.3894,809281.3853
Bison,-1002032.859,849722.7496
Bison,-524290.9582,807856.9339
Bison,-414189.2555,210396.6386
Bison,-533654.8357,-59799.4508
Bison,-1019139.604,105240.072
Bison,-1044996.659,127801.0072
Bison,-874600.3896,-293001.2702
Bison,-888558.3947,309424.1124
Bison,-788099.4539,-100229.0939
Bison,-1278899.117,1417551.016
Bison,-1055853.538,162093.9426
Bison,-364493.793,360344.4069
Bison,-987865.3865,704696.433
Bison,-725178.0305,1800519.277
Bison,-103185.1452,259105.9123
Bison,-989330.8161,122762.9631
Bison,-881078.769,-264752.0112
Bison,-618573.738,695927.2366
Bison,-978519.4998,27473.9901
Bison,10952.4956,-97215.7375
Bison,-104425.0643,265579.4357
Bison,-720321.4845,699577.3915
Bison,-645016.129,904976.1243
Bison,-759325.7547,979514.1625
Bison,-1007121.763,684172.9099
Bison,-279166.7822,-357038.2587
Bison,-929361.6118,-91088.6127
Bison,-921580.8158,-298197.9525
Bison,-116421.0017,579523.3593
Bison,-966098.359,-88400.2967
Bison,-505986.5424,821327.3195
Bison,-607512.391,956742.5802
Bison,-445259.5174,887695.2719
Bison,-902366.2251,-64940.3931
Bison,-434666.5389,839115.3113
Bison,-534703.0319,887853.3623
Bison,-1012937.957,75595.2139
Bison,-703578.6748,1788353.542
Bison,-993559.2443,121164.7309
Bison,-658196.1944,1724811.087
Bison,-612996.942,-57639.9646
Bison,-636450.9613,858969.4838
Bison,-915753.287,65337.7435
Bison,-241071.857,348360.3097
Bison,-666150.3097,1320425.538
Bison,-803464.3003,-189648.3065
Bison,-644478.572,996757.7863
Bison,-994544.9454,-211915.0269
Bison,-957624.3236,-69410.1722
Bison,-967115.3397,5159.2828
Bison,-814716.294,493234.9733
Bison,-47327.2559,-83194.48
Bison,-1044204.423,1288815.773
Bison,-1023918.52,116482.6802
Bison,-875235.5187,846348.1227
Bison,-806149.519,416675.6993
Bison,75748.902,-487578.4149
Bison,-1006832.273,779610.9384
Bison,-524946.8413,-222584.1341
Bison,-971352.4296,-172358.065
Bison,-1237437.179,1395858.207
Bison,-582170.4481,-252736.3478
Bison,-1033009.457,-150451.3793
Bison,-1204107.456,1004979.992
Bison,-950689.4076,866171.7505
Bison,-464183.6082,685111.9635
Bison,-1014547.557,-138442.39
